,word,Male Count,Female Count,Difference,male,female,Difference %,Abs Difference %
1662,conceptual,805.0,169.0,636.0,0.04212529160644407,0.020793346129238645,0.021331945477205426,0.021331945477205426
1858,past,1159.0,322.0,837.0,0.06064995400232134,0.03961809144150795,0.021031862560813387,0.021031862560813387
850,student,2474.0,1223.0,1251.0,0.12946331855197843,0.15047492494709386,-0.02101160639511543,0.02101160639511543
1779,examples,1696.0,553.0,1143.0,0.08875092492488093,0.06803976573650278,0.020711159188378153,0.020711159188378153
1284,english,778.0,499.0,279.0,0.0407123936270975,0.061395737979231264,-0.020683344352133766,0.020683344352133766
303,articles,447.0,355.0,92.0,0.02339131099140435,0.04367833062650721,-0.02028701963510286,0.02028701963510286
505,accent,969.0,249.0,720.0,0.050707338592104724,0.03063635021408534,0.020070988378019385,0.020070988378019385
270,science,1482.0,468.0,1014.0,0.07755240019968958,0.05758157389635317,0.01997082630333641,0.01997082630333641
944,honestly,2381.0,1174.0,1207.0,0.12459666995645133,0.14444608494512526,-0.01984941498867393,0.01984941498867393
903,goes,1807.0,608.0,1199.0,0.09455950550663905,0.07480683104483489,0.019752674461804162,0.019752674461804162
1184,solve,651.0,117.0,534.0,0.034066540168689555,0.014395393474088292,0.019671146694601262,0.019671146694601262
538,harder,1772.0,595.0,1177.0,0.09272797108896758,0.0732073428810473,0.019520628207920276,0.019520628207920276
2972,solutions,570.0,84.0,486.0,0.029827846230649838,0.01033515428908903,0.019492691941560808,0.019492691941560808
28,discussions,1396.0,752.0,644.0,0.07305205848769679,0.09252423839755894,-0.01947217990986215,0.01947217990986215
2434,corbin,389.0,8.0,381.0,0.02035619681354875,0.0009843004084846695,0.01937189640506408,0.01937189640506408
383,participate,435.0,342.0,93.0,0.022763356333916983,0.04207884246271962,-0.019315486128802635,0.019315486128802635
900,amazing,2084.0,1042.0,1042.0,0.10905479218363905,0.1282051282051282,-0.019150336021489148,0.019150336021489148
2049,sessions,1199.0,355.0,844.0,0.06274313619394589,0.04367833062650721,0.019064805567438683,0.019064805567438683
1419,20,1957.0,987.0,970.0,0.10240893872523112,0.1214380628967961,-0.01902912417156498,0.01902912417156498
415,lecturer,2691.0,990.0,1701.0,0.1408188319415416,0.12180717554997784,0.019011656391563755,0.019011656391563755
686,feel,2757.0,1327.0,1430.0,0.1442725825577221,0.16327083025739456,-0.018998247699672455,0.018998247699672455
957,probably,3034.0,1139.0,1895.0,0.15876786923472214,0.14013977065800481,0.018628098576717322,0.018628098576717322
682,cool,1316.0,409.0,907.0,0.0688656941044477,0.05032235838377873,0.018543335720668977,0.018543335720668977
539,2,4697.0,2148.0,2549.0,0.24579191885151278,0.2642846596781338,-0.01849274082662103,0.01849274082662103
1235,cluster,310.0,282.0,28.0,0.016222161985090265,0.0346965893990846,-0.018474427413994333,0.018474427413994333
1752,6,848.0,510.0,338.0,0.044375462462440465,0.06274915104089768,-0.018373688578457212,0.018373688578457212
292,grades,2497.0,1211.0,1286.0,0.13066689831216252,0.14899847433436686,-0.018331576022204338,0.018331576022204338
7,long,4632.0,2119.0,2513.0,0.2423904977901229,0.26071657069737686,-0.018326072907253965,0.018326072907253965
1262,theory,747.0,169.0,578.0,0.039090177428588474,0.020793346129238645,0.01829683129934983,0.01829683129934983
426,quiz,1563.0,813.0,750.0,0.0817910941377293,0.10002952901225454,-0.01823843487452524,0.01823843487452524
1214,teacher,2272.0,1114.0,1158.0,0.11889274848427445,0.13706383188149024,-0.018171083397215793,0.018171083397215793
264,say,4121.0,1606.0,2515.0,0.2156500952921193,0.1975983070032974,0.018051788288821896,0.018051788288821896
9513,pham,372.0,12.0,360.0,0.019466594382108317,0.0014764506127270044,0.017990143769381312,0.017990143769381312
446,topic,1669.0,856.0,813.0,0.08733802694553436,0.10532014370785964,-0.01798211676232528,0.01798211676232528
199,sense,1405.0,452.0,953.0,0.07352302448081233,0.05561297307938382,0.017910051401428505,0.017910051401428505
257,classes,4684.0,2137.0,2547.0,0.2451116346392348,0.2629312466164674,-0.017819611977232586,0.017819611977232586
465,philosophy,691.0,150.0,541.0,0.0361597223603141,0.018455632659087555,0.01770408970122655,0.01770408970122655
