word,gender,percent
fast,female,0.07317200648094915
new,female,0.07317200648094915
required,female,0.07317200648094915
reviewing,female,0.07317200648094915
start,female,0.07317200648094915
personally,female,0.07317200648094915
written,female,0.07317200648094915
point,female,0.07317200648094915
trying,female,0.07317200648094915
previous,female,0.07317200648094915
etc,female,0.07317200648094915
paper,female,0.07317200648094915
decent,female,0.07317200648094915
posted,female,0.07317200648094915
seem,female,0.07317200648094915
easily,female,0.07317200648094915
general,female,0.07317200648094915
90,female,0.07317200648094915
anyone,female,0.07317200648094915
okay,female,0.07317200648094915
mistakes,female,0.07317200648094915
assigned,female,0.07317200648094915
exams,difference,0.07243954408459562
learn,difference,0.0722917214158529
hw,difference,0.07169206342000986
difficulty,difference,0.07095209188954023
