class,difference,department,Class_Cap
"CHICANO 191 - VALENZUELA, A.",0.048135764,,"CHICANO 191 - VALENZUELA, A."
"ENGR 183EW - BROWNE, D.G.",0.046359446,,"ENGR 183EW - BROWNE, D.G."
"MSC IND 55 - LEAF, D.A.",0.045050651,,"MSC IND 55 - LEAF, D.A."
"I A STD 1 - THIES, M.F.",0.044298344,,"I A STD 1 - THIES, M.F."
"FILM TV 122D - WILSON, B.D.",0.0409,,"FILM TV 122D - WILSON, B.D."
"THEATER 120B - OLIVIERI, J.M.",0.04085163,,"THEATER 120B - OLIVIERI, J.M."
"ENGCOMP 2 - SAMUELSON, M.G.",0.04,,"ENGCOMP 2 - SAMUELSON, M.G."
"PUB AFF 110 - MUKHIJA, V.",0.0395,,"PUB AFF 110 - MUKHIJA, V."
"THEATER 107 - CARRIGER, M.L.",0.038967467,,"THEATER 107 - CARRIGER, M.L."
"SCAND 50W - YAMASAKI, L.J.",0.038475676,,"SCAND 50W - YAMASAKI, L.J."
"CHICANO 151 - VERCHES, R.L.",0.038144444,,"CHICANO 151 - VERCHES, R.L."
"MGMTEX 439 - WACZIARG, R.T.",0.032586633,,"MGMTEX 439 - WACZIARG, R.T."
"MGMTEX 440 - HOLLENBECK, B.W.",0.03,,"MGMTEX 440 - HOLLENBECK, B.W."
"ENVIRON M164 - GARRISON, N.J.",0.0273,,"ENVIRON M164 - GARRISON, N.J."
"DIS STD 101W - THORNTON, B.E.",0.026577578,,"DIS STD 101W - THORNTON, B.E."
"FILM TV 180A - WARD, D.A.",0.0261,,"FILM TV 180A - WARD, D.A."
"ECON 41 - PONOMAREV, K.",0.025033734,,"ECON 41 - PONOMAREV, K."
"PSYCH M139 - TARLETON, C.E.",0.024924925,,"PSYCH M139 - TARLETON, C.E."
"JAPAN 155 - SHIMA, K.M.",0.024773825,,"JAPAN 155 - SHIMA, K.M."
"ENGCOMP 100W - RODRIGUEZ DRISSI,",0.023806194,,"ENGCOMP 100W - RODRIGUEZ DRISSI,"
"ASIA AM 130A - KAO, J.",0.021591209,,"ASIA AM 130A - KAO, J."
"CHEM 30A - REILLY, A.J.",0.021319102,,"CHEM 30A - REILLY, A.J."
"ENGL M138 - EKIMYAN, H.",0.0213,,"ENGL M138 - EKIMYAN, H."
"COMM 105 - ARBABZADAH, N.",0.020966667,,"COMM 105 - ARBABZADAH, N."
"MGMT 180 - MACY, B.W.",0.0183,,"MGMT 180 - MACY, B.W."
"MGMT 163 - ROSTAMIAN, F.D.",0.018119381,,"MGMT 163 - ROSTAMIAN, F.D."
"MCD BIO 50 - MCWHORTER, A.L.",0.017490609,,"MCD BIO 50 - MCWHORTER, A.L."
"ROMANIA 103 - MANOLESCU, Z.",0.0133,,"ROMANIA 103 - MANOLESCU, Z."
"ENGCOMP 3 - LEHMAN, P.J.",0.013086913,,"ENGCOMP 3 - LEHMAN, P.J."
"THEATER 50 - MAY0RD, J.E.",0.0129,,"THEATER 50 - MAY0RD, J.E."
"ASIA AM 30W - WELTY, L.",0.003996004,,"ASIA AM 30W - WELTY, L."
"EDUC 443 - COOPER, R.",0,,"EDUC 443 - COOPER, R."
"EDUC 448A - FRANKE, M.L.",0,,"EDUC 448A - FRANKE, M.L."
"EDUC 448A - ROGERS, J.S.",0,,"EDUC 448A - ROGERS, J.S."
"EDUC 414E - SEPLOW, S.L.",0,,"EDUC 414E - SEPLOW, S.L."
"EDUC 414A - HARRIS, J.C.",0,,"EDUC 414A - HARRIS, J.C."
