"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","PHYSICS","131","1","B-",9,92,"WANG, S.","1","Mathematical Methods of Physics","255",2.7
"19F","PHYSICS","131","1","C+",11,92,"WANG, S.","1","Mathematical Methods of Physics","255",2.3
"19F","PHYSICS","131","1","C",7,92,"WANG, S.","1","Mathematical Methods of Physics","255",2
"19F","PHYSICS","131","1","C-",4,92,"WANG, S.","1","Mathematical Methods of Physics","255",1.7
"19F","PHYSICS","131","1","D+",1,92,"WANG, S.","1","Mathematical Methods of Physics","255",1.3
"19F","PHYSICS","131","1","S",1,92,"WANG, S.","1","Mathematical Methods of Physics","255",0
"19F","PHYSICS","140A","1","A+",2,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",4
"19F","PHYSICS","140A","1","A",6,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",4
"19F","PHYSICS","140A","1","A-",1,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",3.7
"19F","PHYSICS","140A","1","B+",3,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",3.3
"19F","PHYSICS","140A","1","B",1,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",3
"19F","PHYSICS","140A","1","B-",1,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",2.7
"19F","PHYSICS","140A","1","C",1,15,"JIANG, H.","1","Introduction to Solid-State Physics","255",2
"19F","PHYSICS","180N","1","A+",10,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",4
"19F","PHYSICS","180N","1","A",4,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",4
"19F","PHYSICS","180N","1","A-",4,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",3.7
"19F","PHYSICS","180N","1","B",2,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",3
"19F","PHYSICS","180N","1","B-",1,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",2.7
"19F","PHYSICS","180N","1","F",1,22,"SAMANI, J.F.","1","Computational Physics and Astronomy Laboratory","255",0
"19F","PHYSICS","192","1","A+",11,22,"ARISAKA, K.","1","Undergraduate Practicum in Physics","255",4
"19F","PHYSICS","192","1","A",8,22,"ARISAKA, K.","1","Undergraduate Practicum in Physics","255",4
"19F","PHYSICS","192","1","A-",3,22,"ARISAKA, K.","1","Undergraduate Practicum in Physics","255",3.7
"19F","PHYSICS","192M","1","A+",5,51,"SAMANI, J.F.","1","Methods and Application of Collaborative Learning Theory in P","255",4
"19F","PHYSICS","192M","1","A",46,51,"SAMANI, J.F.","1","Methods and Application of Collaborative Learning Theory in P","255",4
"19F","PHYSICS","192S","1","A+",3,27,"SAMANI, J.F.","1","Introduction to Collaborative Learning Theory and Practice","255",4
"19F","PHYSICS","192S","1","A",24,27,"SAMANI, J.F.","1","Introduction to Collaborative Learning Theory and Practice","255",4
"19F","PHYSICS","220","1","A+",9,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",4
"19F","PHYSICS","220","1","A",11,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",4
"19F","PHYSICS","220","1","A-",10,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",3.7
"19F","PHYSICS","220","1","B+",10,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",3.3
"19F","PHYSICS","220","1","B",2,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",3
"19F","PHYSICS","220","1","C",1,43,"PUTTERMAN, S.J.","1","Classical Mechanics","255",2
"19F","PHYSICS","221A","1","A+",2,44,"HAMILTON, P.","1","Quantum Mechanics","255",4
"19F","PHYSICS","221A","1","A",7,44,"HAMILTON, P.","1","Quantum Mechanics","255",4
"19F","PHYSICS","221A","1","A-",11,44,"HAMILTON, P.","1","Quantum Mechanics","255",3.7
"19F","PHYSICS","221A","1","B+",10,44,"HAMILTON, P.","1","Quantum Mechanics","255",3.3
"19F","PHYSICS","221A","1","B",5,44,"HAMILTON, P.","1","Quantum Mechanics","255",3
"19F","PHYSICS","221A","1","B-",3,44,"HAMILTON, P.","1","Quantum Mechanics","255",2.7
"19F","PHYSICS","221A","1","C+",6,44,"HAMILTON, P.","1","Quantum Mechanics","255",2.3
"19F","PHYSICS","230A","1","A+",3,14,"KRAUS, P.J.","1","Quantum Field Theory","255",4
"19F","PHYSICS","230A","1","A",6,14,"KRAUS, P.J.","1","Quantum Field Theory","255",4
"19F","PHYSICS","230A","1","A-",1,14,"KRAUS, P.J.","1","Quantum Field Theory","255",3.7
"19F","PHYSICS","230A","1","P",1,14,"KRAUS, P.J.","1","Quantum Field Theory","255",-1
"19F","PHYSICS","230A","1","S",3,14,"KRAUS, P.J.","1","Quantum Field Theory","255",0
"19F","PHYSICS","231A","1","A+",2,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",4
"19F","PHYSICS","231A","1","A",7,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",4
"19F","PHYSICS","231A","1","A-",3,18,"D'HOKER, E.","1","Methods of Mathematical Physics","255",3.7
