"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","IDX_E12"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","3763","1544","2219","949","365","584","-2"
"110662","University of California-Los Angeles","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","24119","9734","14385","5292","1830","3462","-2"
"110662","University of California-Los Angeles","2023","Full-time students total","Not applicable, undergraduate detail","45781","19305","26476","9358","3219","6139","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","32798","12975","19823","7372","2463","4909","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","32797","12974","19823","7372","2463","4909","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","6497","2430","4067","1453","412","1041","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","26300","10544","15756","5919","2051","3868","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","1","1","0","0","0","0","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Graduate","Not applicable, undergraduate detail","12983","6330","6653","1986","756","1230","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","3646","1512","2134","935","361","574","-2"
"110662","University of California-Los Angeles","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","22654","9032","13622","4984","1690","3294","-2"
"110662","University of California-Los Angeles","2023","Part-time students total","Not applicable, undergraduate detail","3229","1740","1489","548","278","270","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","1600","736","864","325","144","181","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","1598","736","862","325","144","181","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","16","2","14","3","0","3","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","1582","734","848","322","144","178","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","2","0","2","0","0","0","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Graduate","Not applicable, undergraduate detail","1629","1004","625","223","134","89","-2"
"110662","University of California-Los Angeles","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","117","32","85","14","4","10","-2"
